order_details_id,order_id,order_date,order_time,item_id,order_date_new
1,1,01/01/2023,11:38:36,109,2023-01-01
2,2,01/01/2023,11:57:40,108,2023-01-01
3,2,01/01/2023,11:57:40,124,2023-01-01
4,2,01/01/2023,11:57:40,117,2023-01-01
5,2,01/01/2023,11:57:40,129,2023-01-01
6,2,01/01/2023,11:57:40,106,2023-01-01
7,3,01/01/2023,12:12:28,117,2023-01-01
8,3,01/01/2023,12:12:28,119,2023-01-01
9,4,01/01/2023,12:16:31,117,2023-01-01
10,5,01/01/2023,12:21:30,117,2023-01-01
11,6,01/01/2023,12:29:36,101,2023-01-01
12,6,01/01/2023,12:29:36,114,2023-01-01
13,7,01/01/2023,12:50:37,123,2023-01-01
14,8,01/01/2023,12:51:37,123,2023-01-01
15,9,01/01/2023,12:52:01,108,2023-01-01
16,9,01/01/2023,12:52:01,126,2023-01-01
17,9,01/01/2023,12:52:01,110,2023-01-01
18,9,01/01/2023,12:52:01,117,2023-01-01
19,9,01/01/2023,12:52:01,117,2023-01-01
20,9,01/01/2023,12:52:01,129,2023-01-01
21,9,01/01/2023,12:52:01,122,2023-01-01
22,9,01/01/2023,12:52:01,130,2023-01-01
23,9,01/01/2023,12:52:01,132,2023-01-01
24,10,01/01/2023,13:00:15,129,2023-01-01
25,10,01/01/2023,13:00:15,105,2023-01-01
26,11,01/01/2023,13:02:59,101,2023-01-01
27,11,01/01/2023,13:02:59,102,2023-01-01
28,11,01/01/2023,13:02:59,102,2023-01-01
29,11,01/01/2023,13:02:59,113,2023-01-01
30,12,01/01/2023,13:04:41,102,2023-01-01
31,12,01/01/2023,13:04:41,102,2023-01-01
32,12,01/01/2023,13:04:41,104,2023-01-01
33,12,01/01/2023,13:04:41,117,2023-01-01
34,13,01/01/2023,13:11:55,129,2023-01-01
35,14,01/01/2023,13:14:19,114,2023-01-01
36,15,01/01/2023,13:33:00,107,2023-01-01
37,15,01/01/2023,13:33:00,124,2023-01-01
38,15,01/01/2023,13:33:00,121,2023-01-01
39,15,01/01/2023,13:33:00,114,2023-01-01
40,16,01/01/2023,13:34:07,125,2023-01-01
41,16,01/01/2023,13:34:07,111,2023-01-01
42,16,01/01/2023,13:34:07,106,2023-01-01
43,17,01/01/2023,13:53:00,101,2023-01-01
44,17,01/01/2023,13:53:00,116,2023-01-01
45,17,01/01/2023,13:53:00,124,2023-01-01
46,17,01/01/2023,13:53:00,125,2023-01-01
47,17,01/01/2023,13:53:00,117,2023-01-01
48,17,01/01/2023,13:53:00,127,2023-01-01
49,17,01/01/2023,13:53:00,128,2023-01-01
50,17,01/01/2023,13:53:00,129,2023-01-01
51,17,01/01/2023,13:53:00,118,2023-01-01
52,17,01/01/2023,13:53:00,131,2023-01-01
53,18,01/01/2023,13:57:08,111,2023-01-01
54,19,01/01/2023,13:59:09,110,2023-01-01
55,19,01/01/2023,13:59:09,120,2023-01-01
56,20,01/01/2023,14:03:08,107,2023-01-01
57,20,01/01/2023,14:03:08,124,2023-01-01
58,21,01/01/2023,14:14:29,110,2023-01-01
59,22,01/01/2023,14:16:26,124,2023-01-01
60,22,01/01/2023,14:16:26,110,2023-01-01
61,22,01/01/2023,14:16:26,105,2023-01-01
62,23,01/01/2023,14:19:03,105,2023-01-01
63,24,01/01/2023,14:23:01,101,2023-01-01
64,24,01/01/2023,14:23:01,110,2023-01-01
65,24,01/01/2023,14:23:01,113,2023-01-01
66,24,01/01/2023,14:23:01,119,2023-01-01
67,25,01/01/2023,14:44:44,120,2023-01-01
